Washington,2004,Male,27,White,Unknown,Male,44,White
Colorado,2004,Male,24,Black,Unknown,Male,74,Black
California,2004,Male,20,Black,Unknown,Unknown,0,Unknown
Illinois,2004,Male,24,Black,Unknown,Male,41,White
Massachusetts,2004,Male,3,White,Unknown,Male,12,White
Texas,2004,Female,0,White,Hispanic,Male,25,White
Oregon,2004,Female,76,White,Not Hispanic,Male,43,White
Florida,2004,Male,28,Black,Unknown,Male,26,Black
California,2004,Male,24,White,Hispanic,Male,17,White
California,2004,Male,33,White,Hispanic,Unknown,0,Unknown
Kentucky,2004,Female,54,White,Unknown,Unknown,0,Unknown
Louisiana,2004,Male,27,White,Unknown,Male,99,White
New York,2004,Male,27,Black,Unknown,Female,23,Black
New York,2004,Male,20,White,Unknown,Male,15,White
California,2004,Male,22,White,Hispanic,Unknown,0,Unknown
Texas,2004,Male,46,Black,Not Hispanic,Unknown,0,Unknown
California,2004,Female,73,White,Hispanic,Unknown,0,Unknown
New Jersey,2004,Male,52,White,Unknown,Male,63,White
Georgia,2004,Male,55,Black,Unknown,Unknown,0,Unknown
California,2004,Male,17,White,Unknown,Unknown,0,Unknown
California,2004,Male,30,White,Hispanic,Unknown,0,Unknown
Texas,2004,Female,2,Black,Not Hispanic,Male,24,Black
California,2004,Male,83,White,Hispanic,Unknown,0,Unknown
Ohio,2004,Female,39,White,Unknown,Male,50,White
Mississippi,2004,Male,42,Black,Unknown,Male,26,Black
New York,2004,Male,27,White,Unknown,Unknown,0,Unknown
Georgia,2004,Male,26,Black,Unknown,Male,27,Black
Texas,2004,Male,38,White,Not Hispanic,Male,0,White
Kentucky,2004,Male,56,White,Unknown,Unknown,0,Unknown
Arizona,2004,Male,31,White,Hispanic,Male,20,White
Missouri,2004,Male,21,Black,Unknown,Unknown,0,Unknown
California,2004,Male,26,White,Hispanic,Unknown,0,Unknown
North Carolina,2004,Female,40,White,Unknown,Male,56,White
Florida,2004,Female,22,White,Unknown,Unknown,0,Unknown
Virginia,2004,Male,25,Black,Unknown,Male,20,Black
Texas,2004,Male,48,White,Not Hispanic,Male,25,White
California,2004,Female,20,Black,Not Hispanic,Unknown,0,Unknown
California,2004,Male,34,Black,Not Hispanic,Unknown,0,Unknown
Florida,2004,Male,40,White,Unknown,Unknown,0,Unknown
Michigan,2004,Female,13,Black,Unknown,Male,31,Black
California,2004,Male,29,White,Hispanic,Unknown,0,Unknown
New York,2004,Male,59,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,38,White,Hispanic,Unknown,0,Unknown
Georgia,2004,Male,32,White,Unknown,Male,35,White
Florida,2004,Male,27,Black,Unknown,Unknown,0,Unknown
Oklahoma,2004,Male,35,Black,Unknown,Male,49,Asian/Pacific Islander
Michigan,2004,Male,37,Black,Unknown,Male,63,Black
Kentucky,2004,Female,21,White,Unknown,Male,20,White
New York,2004,Female,35,Black,Unknown,Male,19,Black
Virginia,2004,Male,23,White,Unknown,Male,40,White
California,2004,Male,34,Black,Not Hispanic,Unknown,0,Unknown
California,2004,Male,18,Unknown,Unknown,Male,20,Black
Texas,2004,Male,17,Black,Not Hispanic,Male,19,Black
North Carolina,2004,Male,33,White,Unknown,Unknown,0,Unknown
Texas,2004,Male,20,Black,Not Hispanic,Unknown,0,Unknown
Alabama,2004,Male,34,Black,Unknown,Male,21,Black
Missouri,2004,Female,2,White,Not Hispanic,Female,14,Black
Georgia,2004,Male,20,Asian/Pacific Islander,Unknown,Unknown,0,Unknown
Florida,2004,Male,2,White,Unknown,Male,37,White
Alaska,2004,Male,12,White,Unknown,Female,37,White
New York,2004,Male,44,Black,Unknown,Male,39,Black
Indiana,2004,Male,23,Black,Unknown,Unknown,0,Unknown
Maryland,2004,Male,37,Black,Unknown,Male,17,Black
California,2004,Male,25,Black,Not Hispanic,Unknown,0,Unknown
California,2004,Male,22,Black,Not Hispanic,Male,37,White
California,2004,Female,85,White,Not Hispanic,Male,81,White
Wisconsin,2004,Male,46,White,Unknown,Male,44,Black
Virginia,2004,Female,82,Black,Unknown,Female,32,Black
New Jersey,2004,Male,42,White,Unknown,Male,41,White
Massachusetts,2004,Male,25,Black,Unknown,Unknown,0,Unknown
Wisconsin,2004,Male,1,White,Unknown,Female,35,White
District of Columbia,2004,Male,60,Black,Not Hispanic,Unknown,0,Unknown
Tennessee,2004,Male,26,White,Unknown,Male,38,White
Iowa,2004,Male,17,White,Unknown,Male,24,White
Texas,2004,Female,45,White,Not Hispanic,Male,25,White
Texas,2004,Male,63,White,Not Hispanic,Male,17,White
New York,2004,Female,27,White,Unknown,Unknown,0,Unknown
Pennsylvania,2004,Male,45,White,Unknown,Male,41,White
Texas,2004,Male,38,White,Hispanic,Female,46,White
Arizona,2004,Male,65,White,Not Hispanic,Male,48,White
California,2004,Male,22,Black,Not Hispanic,Unknown,0,Unknown
Michigan,2004,Male,40,Black,Unknown,Unknown,0,Unknown
Wisconsin,2004,Male,18,Black,Unknown,Male,18,White
Tennessee,2004,Male,21,Black,Unknown,Unknown,0,Unknown
Alabama,2004,Male,49,Black,Unknown,Unknown,0,Unknown
Michigan,2004,Male,40,Black,Unknown,Unknown,0,Unknown
Nevada,2004,Male,25,White,Unknown,Male,50,White
Illinois,2004,Male,59,Black,Unknown,Male,35,Black
California,2004,Male,26,White,Hispanic,Male,30,White
Louisiana,2004,Male,28,Black,Unknown,Unknown,0,Unknown
California,2004,Male,18,Black,Not Hispanic,Unknown,0,Unknown
Louisiana,2004,Female,33,White,Unknown,Male,30,White
Maryland,2004,Male,25,Black,Unknown,Unknown,0,Unknown
Florida,2004,Female,27,White,Unknown,Male,33,White
Georgia,2004,Male,34,White,Not Hispanic,Male,38,Black
New York,2004,Male,17,Black,Unknown,Male,18,Black
Florida,2004,Female,48,White,Unknown,Male,52,Black
California,2004,Male,45,White,Not Hispanic,Male,22,White
Texas,2004,Male,2,Black,Not Hispanic,Male,27,Black
California,2004,Male,65,Asian/Pacific Islander,Not Hispanic,Male,28,Asian/Pacific Islander
Illinois,2004,Male,19,Black,Unknown,Unknown,0,Unknown
New York,2004,Male,73,White,Unknown,Male,26,White
Illinois,2004,Male,37,Black,Unknown,Unknown,0,Unknown
Pennsylvania,2004,Male,23,Black,Unknown,Male,19,Black
Virginia,2004,Male,22,Black,Unknown,Male,26,Black
Washington,2004,Male,37,White,Unknown,Male,35,White
California,2004,Male,31,White,Not Hispanic,Unknown,0,Unknown
Florida,2004,Male,34,Black,Unknown,Unknown,0,Unknown
Ohio,2004,Male,19,Black,Unknown,Male,0,Black
Florida,2004,Male,28,Black,Unknown,Male,35,Black
Michigan,2004,Male,37,Black,Unknown,Unknown,0,Unknown
Alabama,2004,Male,99,White,Unknown,Male,34,White
Maryland,2004,Female,24,Black,Unknown,Unknown,0,Unknown
Pennsylvania,2004,Male,33,Black,Not Hispanic,Male,0,Unknown
Louisiana,2004,Male,29,Black,Unknown,Unknown,0,Unknown
Connecticut,2004,Male,48,White,Unknown,Male,44,Black
Louisiana,2004,Male,16,Black,Unknown,Male,0,Black
Virginia,2004,Female,46,Black,Unknown,Male,0,Black
Tennessee,2004,Male,18,Asian/Pacific Islander,Unknown,Male,23,Asian/Pacific Islander
New York,2004,Male,46,White,Unknown,Male,37,White
Florida,2004,Male,1,Black,Unknown,Male,22,Black
Louisiana,2004,Male,21,Black,Unknown,Male,0,Black
Texas,2004,Male,23,Black,Not Hispanic,Male,25,Black
Maryland,2004,Female,42,Black,Unknown,Male,34,Black
Louisiana,2004,Male,20,Black,Unknown,Unknown,0,Unknown
Texas,2004,Male,84,White,Not Hispanic,Female,0,White
New Jersey,2004,Male,21,Black,Unknown,Unknown,0,Unknown
Florida,2004,Male,2,Black,Unknown,Male,18,Black
California,2004,Male,19,White,Not Hispanic,Unknown,0,Unknown
Arizona,2004,Male,32,White,Hispanic,Male,0,White
North Carolina,2004,Male,45,Black,Unknown,Unknown,0,Unknown
Georgia,2004,Male,1,White,Not Hispanic,Male,22,White
Indiana,2004,Male,21,Black,Unknown,Male,21,Black
California,2004,Male,18,Black,Not Hispanic,Male,22,Black
Illinois,2004,Female,16,Black,Unknown,Male,16,Black
Texas,2004,Male,27,Black,Not Hispanic,Male,18,Black
California,2004,Male,63,Black,Not Hispanic,Male,18,Black
Florida,2004,Female,0,White,Unknown,Unknown,0,Unknown
Illinois,2004,Male,21,Black,Unknown,Male,16,Black
Florida,2004,Male,31,Black,Unknown,Male,22,Black
California,2004,Male,26,White,Hispanic,Unknown,0,Unknown
California,2004,Male,35,Black,Not Hispanic,Male,18,White
Tennessee,2004,Male,24,Black,Unknown,Unknown,25,Black
California,2004,Female,21,White,Hispanic,Female,38,White
Pennsylvania,2004,Male,27,Black,Not Hispanic,Male,38,Black
Texas,2004,Male,21,Black,Not Hispanic,Male,0,Black
Florida,2004,Male,48,Black,Unknown,Male,28,White
District of Columbia,2004,Male,21,Black,Not Hispanic,Male,30,Black
New York,2004,Male,19,Black,Unknown,Male,45,Black
Georgia,2004,Male,41,Black,Not Hispanic,Unknown,0,Unknown
Texas,2004,Male,79,White,Not Hispanic,Male,29,White
Kansas,2004,Male,24,Black,Unknown,Male,24,Black
West Virginia,2004,Male,99,Unknown,Unknown,Unknown,0,Unknown
California,2004,Female,50,White,Not Hispanic,Unknown,0,Unknown
Maryland,2004,Male,21,Black,Unknown,Male,21,Black
Arizona,2004,Male,58,White,Not Hispanic,Male,26,White
Tennessee,2004,Female,53,White,Unknown,Male,46,White
Texas,2004,Male,22,Black,Not Hispanic,Male,23,Black
California,2004,Male,23,White,Hispanic,Unknown,0,Unknown
California,2004,Female,39,White,Not Hispanic,Male,38,White
Texas,2004,Female,24,Black,Not Hispanic,Male,40,Black
Georgia,2004,Male,23,Black,Not Hispanic,Male,26,Black
Alabama,2004,Female,32,Black,Unknown,Male,22,Black
Texas,2004,Male,23,Black,Not Hispanic,Male,21,Black
Colorado,2004,Male,24,White,Unknown,Unknown,0,Unknown
Kansas,2004,Female,58,White,Unknown,Male,42,White
California,2004,Male,23,White,Hispanic,Unknown,0,Unknown
Pennsylvania,2004,Male,30,White,Not Hispanic,Male,22,Black
New York,2004,Male,25,Black,Unknown,Male,0,Black
Michigan,2004,Female,36,Black,Unknown,Unknown,0,Unknown
Illinois,2004,Male,25,Black,Unknown,Unknown,0,Unknown
Louisiana,2004,Female,42,Black,Unknown,Unknown,0,Unknown
California,2004,Male,28,White,Hispanic,Male,30,White
Pennsylvania,2004,Male,32,Unknown,Hispanic,Unknown,0,Unknown
Mississippi,2004,Male,35,White,Unknown,Male,40,White
Pennsylvania,2004,Male,28,White,Not Hispanic,Male,21,White
Nevada,2004,Male,22,Black,Unknown,Male,24,Black
Colorado,2004,Female,29,White,Unknown,Unknown,0,Unknown
Texas,2004,Female,23,White,Unknown,Male,23,White
Texas,2004,Male,24,White,Hispanic,Male,20,White
Oklahoma,2004,Male,33,Black,Not Hispanic,Unknown,0,Unknown
New Mexico,2004,Female,59,Unknown,Unknown,Male,52,White
